project_id,nature_id,spatial_domain_id,mapping_type_id,variable_id,period_id,ensemble_id,gcm_id,rcm_id,rcm_resolution_id,rcp_id,driving_member_id,climex_member_id,post_processing_id,post_processing_obs_id,start,end,version,finest_resolution,first_member,latest_version,path
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,ACCESS1-0,NotApplicable,NotApplicable,rcp45,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_A10_XXX_R41_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1138.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,ACCESS1-0,NotApplicable,NotApplicable,rcp85,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_A10_XXX_R81_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1145.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,ACCESS1-3,NotApplicable,NotApplicable,rcp45,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_A13_XXX_R41_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1151.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,ACCESS1-3,NotApplicable,NotApplicable,rcp85,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_A13_XXX_R81_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1158.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,BCC-CSM1-1-m,NotApplicable,NotApplicable,rcp45,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_B1M_XXX_R41_CQX_NRX_XXX_XXXXXX_XXX_GR_20190417-1014.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,BCC-CSM1-1-m,NotApplicable,NotApplicable,rcp85,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_B1M_XXX_R81_CQX_NRX_XXX_XXXXXX_XXX_GR_20190417-1027.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,BCC-CSM1-1,NotApplicable,NotApplicable,rcp45,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_BC1_XXX_R41_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-2023.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,BCC-CSM1-1,NotApplicable,NotApplicable,rcp85,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_BC1_XXX_R81_CQX_NRX_XXX_XXXXXX_XXX_GR_20190417-1001.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,BNU-ESM,NotApplicable,NotApplicable,rcp45,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_BNU_XXX_R41_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1202.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,BNU-ESM,NotApplicable,NotApplicable,rcp85,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,True,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_BNU_XXX_R81_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1205.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,CanESM2,NotApplicable,NotApplicable,rcp45,r1i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,True,False,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_CE2_XXX_R41_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1508.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,CanESM2,NotApplicable,NotApplicable,rcp45,r2i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,False,False,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_CE2_XXX_R42_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1517.nc
cQ2,SimulatedClimate,Quebec,AveragedObsToSimGrid,pr,1955-2100,CMIP5,CanESM2,NotApplicable,NotApplicable,rcp45,r3i1p1,NotApplicable,QuantileMapping-MovingWindow-Detrending-Extremes,NRCAN-Extremes,,,v1.0,True,False,False,/cmip5/v1.0/CQM/pr/CQ2_CLISIM_QUEBEC_A2S_PRECIP_CON_CM5_CE2_XXX_R43_CQX_NRX_XXX_XXXXXX_XXX_GR_20190416-1525.nc
